Dia,Taxa Compra Manhã,Taxa Venda Manhã,PU Compra Manhã,PU Venda Manhã,PU Base Manhã
02/01/2014,0.0643,0.06509999999999999,1217.75,1208.11,1207.49
03/01/2014,0.0647,0.0655,1214.18,1204.58,1203.33
06/01/2014,0.0647,0.0655,1214.8,1205.2,1204.58
07/01/2014,0.06480000000000001,0.06559999999999999,1214.22,1204.63,1204.01
08/01/2014,0.0646,0.0654,1217.26,1207.64,1207.02
09/01/2014,0.065,0.0658,1213.06,1203.49,1202.87
10/01/2014,0.0654,0.0662,1210.65,1201.1,1199.73
13/01/2014,0.0652,0.066,1213.71,1204.14,1203.48
14/01/2014,0.0652,0.066,1214.37,1204.8,1204.14
15/01/2014,0.0661,0.0669,1204.19,1194.72,1194.13
16/01/2014,0.0659,0.0667,1207.17,1197.67,1197.08
17/01/2014,0.0658,0.0666,1209.52,1200,1198.85
20/01/2014,0.0652,0.066,1217.3,1207.72,1207.13
21/01/2014,0.0659,0.0667,1209.5,1200,1199.41
22/01/2014,0.067,0.0678,1197.04,1187.64,1187.05
23/01/2014,0.0672,0.068,1195.27,1185.89,1185.3
24/01/2014,0.0702,0.071,1161.24,1152.16,1151.13
27/01/2014,0.0688,0.0696,1177.88,1168.66,1168.11
28/01/2014,0.0693,0.0701,1172.66,1163.49,1162.93
29/01/2014,0.0694,0.0702,1172.06,1162.9,1162.35
30/01/2014,0.0703,0.0711,1162.31,1153.24,1152.68
31/01/2014,0.07,0.0708,1166.77,1157.66,1156.63
03/02/2014,0.0699,0.0707,1168.47,1159.35,1158.79
04/02/2014,0.0703,0.0711,1164.45,1155.37,1154.81
05/02/2014,0.0701,0.0709,1167.29,1158.18,1157.63
06/02/2014,0.0693,0.0701,1177.02,1167.84,1167.29
07/02/2014,0.0692,0.07,1178.33,1169.14,1168.21
10/02/2014,0.0684,0.0692,1188.12,1178.85,1178.33
11/02/2014,0.0687,0.0695,1185.16,1175.92,1175.4
12/02/2014,0.069,0.0698,1182.21,1173,1172.47
13/02/2014,0.0691,0.0699,1181.57,1172.37,1171.85
14/02/2014,0.0684,0.0692,1190.77,1181.49,1180.42
17/02/2014,0.0682,0.069,1193.69,1184.39,1183.8
18/02/2014,0.0679,0.0687,1197.78,1188.45,1187.87
19/02/2014,0.0674,0.0682,1204.24,1194.86,1194.28
20/02/2014,0.0677,0.06849999999999999,1201.31,1191.96,1191.37
21/02/2014,0.0666,0.0674,1215.45,1205.98,1204.83
24/02/2014,0.06570000000000001,0.0665,1226.75,1217.19,1216.6
